marketplace	customer_id	review_id	product_id	product_parent	product_title	product_category	star_rating	helpful_votes	total_votes	vine	verified_purchase	review_headline	review_body	review_date
US	40626522	R1A3ZUBR8TSAKY	B00793CZAE	572944212	"mary meyer wubbanub plush pacifier, lamb"	Baby	5	0	0	N	Y	Love this!	Perfect match for the Gund Huggybuddy I bought as a baby gift.	8/31/2015
US	16290022	RLJNYBK4FGBYX	B003PCYMP4	911821018	wubbanub lamb infant pacifier	Baby	5	0	0	N	Y	Love 💕	My little girl love this paci contraption!	8/31/2015
US	10216509	R26QCW75C4JDOK	B003CK3LDI	392768822	wubbanub infant pacifier - giraffe	Baby	5	0	0	N	Y	Five Stars	My son loves this one and will only sleep if he has this one.	8/31/2015
US	114040	R2E7N0TVLUHUDR	B003CK3LDI	392768822	wubbanub infant pacifier - giraffe	Baby	5	0	0	N	Y	Five Stars	Perfect	8/31/2015
US	27971579	R1SO9VMCIGZX3U	B003PCYMP4	911821018	wubbanub lamb infant pacifier	Baby	5	0	0	N	Y	Five Stars	Amazing addition to the nursery!	8/31/2015
US	36369192	R2EUVAGKYPV8Z3	B00PF841HA	449026476	"philips avent freeflow pacifier bpa, free blue / white, 0-6 months"	Baby	5	0	0	N	Y	Five Stars	"Great, breathable, and basic pacifier."	8/31/2015
US	18742061	R2EC65V4U7R8FZ	B0082I1IA8	218693378	"mam glow in the dark night orthodontic pacifier, boy, 6+ months, 2-count"	Baby	5	0	0	N	Y	Five Stars	Great pacifiers	8/31/2015
US	15312194	RG9XY3EKPUCL1	B00067AUNY	957640647	"dexbaby womb sounds bear audio pacifier, brown (discontinued by manufacturer)"	Baby	3	0	0	N	Y	Does the job	"The bear does exactly what we ordered it to do. The heartbeat/womb sounds helped our first daughter to sleep and she still sleeps with her heartbeat bear (she's almost 3) and this is baby number 2's. I do wish the volume could be turned down more. The bear is also a darker chocolate brown than I anticipated based off the items picture which was disappointing for me.  Edit - Once the womb noise times out, restarting it is a hassle. Just turning the switch to off and then back on does not work. It requires turning the switch to off multiple times to get it restart the womb noise. Sometimes it takes two times. Sometimes it takes seven. It's not reliable and I wish I would have purchased a different heartbeat bear."	8/31/2015
US	44791277	R1QR2VQN2KLU6Z	B003CK3LDI	392768822	wubbanub infant pacifier - giraffe	Baby	5	0	0	N	Y	"Kid loves it, so I do to."	Baby boy loves it and like to just hold the giraffe.  Happy kid = happy parents	8/31/2015
US	2943530	R3PRYHYQE0TLYK	B00B7U61QO	115431579	nuk pack of 4 trendline orthodontic pacifier bundle pack	Baby	5	0	0	N	Y	We love the NUK brand of bottles and pacifiers and these ...	"We love the NUK brand of bottles and pacifiers and these pacifiers are no exception! These are the only brand my kiddos would take. With how easy these can be to lose, this 4 pack is so worth buying! The colors are exactly as pictured. Would recommend buying the pacifiers and bottles together because baby recognizes the nipple and will take them easier. Love the othodonic shape - its more natural to breastfed babies and I don't have to worry about teeth problems. Would definitely recommend this product!"	8/31/2015
